varname	code	name
bdypt	 0	internal
bdypt	30	shoulder
bdypt	31	upper trunk
bdypt	32	elbow
bdypt	33	lower arm
bdypt	34	wrist
bdypt	35	knee
bdypt	36	lower leg
bdypt	37	ankle
bdypt	38	pubic region
bdypt	75	head
bdypt	76	face
bdypt	77	eyeball
bdypt	79	lower trunk
bdypt	80	upper arm
bdypt	81	upper leg
bdypt	82	hand
bdypt	83	foot
bdypt	84	25-50% of body
bdypt	85	all parts body
bdypt	87	not stated/unknown
bdypt	88	mouth
bdypt	89	neck
bdypt	92	finger
bdypt	93	toe
bdypt	94	ear
diag	41	ingestion
diag	42	aspiration
diag	46	burn, electrical
diag	47	burn, not specified
diag	48	burn, scald
diag	49	burn, chemical
diag	50	amputation
diag	51	burns, thermal
diag	52	concussion
diag	53	contusions, abrasion
diag	54	crushing
diag	55	dislocation
diag	56	foreign body
diag	57	fracture
diag	58	hematoma
diag	59	laceration
diag	60	dental injury
diag	61	nerve damage
diag	62	internal injury
diag	63	puncture
diag	64	strain, sprain
diag	65	anoxia
diag	66	hemorrhage
diag	67	electric shock
diag	68	poisoning
diag	69	submersion
diag	70	not stated or unknown
diag	71	other
diag	72	avulsion
diag	73	radiation
diag	74	dermatitis/conjunctivitis
disp	1	treated and released
disp	2	transferred
disp	4	hospitalized
disp	5	held for observation
disp	6	left without treatment
disp	8	doa/died in er
disp	9	unknown
fire	0	no fire
fire	1	fire department attended
fire	2	fire department did not attend
fire	3	unknown if fire dept. attended
locale	0	unknown
locale	1	home
locale	2	farm
locale	3	apartment
locale	4	street
locale	5	public
locale	6	mobile/manufactured home
locale	7	industrial
locale	8	school
locale	9	sports
gender	0	unknown
gender	1	male
gender	2	female
race	0	unknown
race	1	white
race	2	black
race	3	other
product	 101	washing machines without wringers or other dryers
product	 102	wringer washing machines
product	 103	washing machines with unheated spin dryers
product	 106	electric clothes dryers without washers
product	 107	gas clothes dryers without washers
product	 108	mangle irons
product	 110	electric heating pads
product	 112	sewing machines or accessories
product	 113	floor buffers or waxers
product	 114	rug shampooers
product	 115	vacuum cleaners
product	 116	electric brooms
product	 118	gas water heaters
product	 119	electric water heaters
product	 125	water softeners or conditioners (appliances)
product	 126	washing machines, not specified
product	 127	clothes dryers, not specified
product	 131	propane, lp or butane gas tanks or fittings
product	 132	electric blankets or sheets
product	 133	other water heaters
product	 134	water heaters, not specified
product	 135	washer-dryer combinations (within one frame)
product	 136	drinking fountains
product	 137	automatic doors or door openers
product	 138	automatic garage doors or door openers
product	 139	incinerators
product	 140	washing machines, other or not specified
product	 202	electric counter-mounted cooking surfaces
product	 204	gas counter-mounted cooking surfaces
product	 212	electric corn poppers
product	 213	electric can openers
product	 214	dishwashers
product	 215	electric blenders
product	 216	electric counter-top ovens, broilers or toaster ovens
product	 217	electric coffee makers or teapots
product	 218	electric or battery-powered knives
product	 219	electric deep fryers
product	 221	food warmers
product	 222	electric frying pans and skillets
product	 223	electric griddles
product	 224	hot plates
product	 227	ice makers (separate from refrigerators)
product	 231	electric mixers
product	 232	electric scissors
product	 234	toasters
product	 235	electric waffle irons
product	 236	faucet water heaters
product	 237	garbage disposers
product	 238	dry heat irons
product	 239	steam irons
product	 240	electric knife sharpeners
product	 241	rotisseries
product	 242	electric immersion water heaters
product	 247	irons, not specified
product	 250	range or oven accessories
product	 252	trash compactors
product	 255	clothes steamers
product	 257	counter-mounted cooking surfaces, not specified
product	 259	electric ranges (with ovens)
product	 260	gas ranges (with ovens)
product	 261	electric ovens
product	 262	gas ovens
product	 263	freezers (separate from refrigerators)
product	 264	microwave ovens
product	 265	other ovens
product	 266	ovens, not specified
product	 267	other ranges (with ovens)
product	 268	slow cookers
product	 269	electric kettles or hot pots
product	 270	ice crushers
product	 271	juicers
product	 273	ranges, not specified
product	 274	ice cream makers
product	 275	food processors
product	 276	refrigerators
product	 277	clothing irons
product	 278	electric ranges or ovens (excl counter-t
product	 279	gas ranges or ovens                     
product	 280	other ranges or ovens                   
product	 281	ranges or ovens, not specified          
product	 304	humidifiers
product	 305	vaporizers
product	 306	dehumidifiers
product	 307	air purifiers
product	 308	boilers
product	 309	coal furnaces
product	 310	gas furnaces
product	 311	oil furnaces
product	 312	electric baseboard heaters
product	 316	wood burning fireplaces, factory built
product	 318	electric furnaces
product	 322	furnaces, not specified
