first_author	polarization	average_rating	ratings
A. Manette Ansay	1.1140853542477192	3.36	23966
A. Meredith Walters	1.0634286063579652	3.945234755224735	48902
A.A. Milne	0.8433651575178749	4.36677158561923	380230
A.C. Gaughen	1.1050444582658732	3.95	19665
A.G. Howard	1.0899883645137547	4.041073156570544	51670
A.G. Riddle	1.0511419075266977	3.7888234452304044	48914
A.J. Banner	1.1739049626126232	3.33	37604
A.J. Jacobs	1.0316288902909843	3.761393576949418	81768
A.L. Singer	0.9316575673403902	4.32	27469
A.M. Homes	1.1051125679372966	3.66	7545
A.N. Roquelaure	1.3672162220908448	3.5381953063543397	91528
A.P.J. Abdul Kalam	0.895221289270252	4.19	24450
A.S. Byatt	1.177025128923053	3.8439562111291745	67049
A.S. King	1.0604164379295156	3.8964506359781947	39624
A.S.A. Harrison	1.0629180671133898	3.3	60323
A.W. Tozer	0.8544379192021289	4.377176643888866	48878
Abbi Glines	0.9644031438846228	4.158740072713631	1002288
Abigail Haas	0.9688956128519107	4.14	10439
Abraham Verghese	0.9016651617236041	4.28	258319
Adam Gidwitz	1.0448704035119711	4.04	15041
Adam Gopnik	1.0945122590519418	3.75	11065
Adam Hochschild	0.9378344544923216	4.15	25021
Adam Johnson	1.037257448375446	4.06	52765
Adam M. Grant	0.9996298271602696	4.06	9918
Adam Makos	0.8726162743143491	4.32	8975
Adam Mansbach	0.9609689574944335	4.26	71816
Adam Smith	1.0600102154261457	3.8700000000000006	17180
Addison Moore	1.1280213539537165	3.74	14747
Adele Faber	0.8815403743659368	4.24	10931
Adeline Yen Mah	0.9788747057297854	3.9635349200156065	41008
Adelle Waldman	1.151622373581005	3.2999999999999994	12598
Adolf Hitler	1.4577616299443295	3.13	16285
Adolfo Bioy Casares	0.9618117627706643	4.05	8669
Adrian Conan Doyle	0.7931691461134243	4.4	26232
Adrian Nicole LeBlanc	0.9154941163222478	4.23	9053
Adriana Trigiani	0.9761629095618144	3.9165290461147735	127573
Aeschylus	1.0190844711549096	3.9357787441486862	36103
Aesop	0.9678081251728259	4.05	88508
Agatha Christie	0.9310934801935856	4.0231321788701395	1614199
Ai Yazawa	1.067638926960047	4.177054717511478	42692
Aimee Bender	1.1859869483202345	3.19	42885
Aimee Carter	1.1441786555435451	3.9007273345228985	70614
Akira Amano	1.0362623129688286	4.22	15102
Akira Toriyama	0.8368459912112634	4.42	27382
Al Dempster	1.0176814705422954	4.19	25466
Al Franken	1.0327316986642114	3.8099999999999996	24071
Al Perkins	1.003528520773064	4.22	24029
Al Ries	1.0270495230872927	4.039366806570288	19299
Alaa Al Aswany	1.113644015138188	3.65	7308
Alain de Botton	1.009101573650847	3.910333343855551	31679
Alan    Richardson	1.0742104498046077	4.05	10653
Alan Bennett	0.985809326210946	3.82	16957
Alan Bradley	0.9390464035242777	3.958053196835104	234826
Alan Brennert	0.9012239055057683	4.12761690667253	90970
Alan Cumming	0.9584435986109582	4	11436
Alan Dean Foster	1.0155631504075924	3.9940317310713165	31830
Alan Hollinghurst	1.1950180142135376	3.7	15844
Alan Lee	1.0012026992672305	4.26	9067
Alan Lightman	1.0108188914375036	4.08	21241
Alan Moore	0.8883426452906277	4.286094919415992	830810
Alan Paton	1.1157385312794783	3.8699999999999997	47389
Alan W. Watts	0.8952775339868015	4.226770272202889	20977
Alan Weisman	1.0644783635139006	3.79	28549
Alastair Reynolds	0.8981970141064212	4.068201433371087	105067
Albert Camus	1.0307264582839302	3.9794965188602003	589893
Albert Einstein	0.9702412291011986	4.17	11069
Aldo Leopold	0.9093561112658773	4.24	16792
Aldous Huxley	1.0474757935259866	3.985599554746449	1180451
Aleatha Romig	1.0155667647724946	4.20932984220081	71610
Aleksandr Solzhenitsyn	0.993306398392471	3.971028036091805	72371
Alessandra Torre	0.9219130109742321	4.215597837176087	39208
Alessandro Baricco	1.0834765061692109	3.82	14555
Alex   Sanchez	1.174085323315057	3.85	11146
Alex  Ross	1.0858448850968707	4.08	9316
Alex Berenson	0.9360648632269835	3.9700000000000006	9316
Alex Flinn	1.1446422974434303	3.833373771026092	165687
Alex Garland	1.001510729279882	3.91	52333
Alex Gino	1.0007084982451084	4.01	13093
Alex Haley	0.7675311051943088	4.42	118951
Alex Kava	0.96631864498124	4.02	13542
Alex Kotlowitz	0.847882662605444	4.25	10312
Alex Lake	1.1212275005355798	3.7	11029
Alex Marwood	1.076100405740639	3.48	9180
Alex Rosenberg	1.1598177773091747	3.79	9585
Alexander Gordon Smith	1.027540183859506	4.1	14024
Alexander Hamilton	1.030244734438183	4.05	24648
Alexander McCall Smith	0.9814662934872103	3.865904039806854	414401
Alexander Osterwalder	0.9927341745600843	4.16	20389
Alexander Pushkin	1.0277624133787453	4.08	33240
Alexandra Adornetto	1.2977817038475994	3.789783569577808	98415
Alexandra Bracken	0.9048653717067036	4.238403806205187	179076
Alexandra Fuller	0.9866139107368895	3.9599999999999995	39298
Alexandra Horowitz	1.1149775418323167	3.55	8770
Alexandra Potter	1.1479999624876296	3.75	12698
Alexandra Ripley	1.3577627223084798	3.4400000000000004	38992
Alexandre Dumas	0.9620127573028971	4.152641933859728	832201
Alexandre Dumas fils	1.0248619244896573	3.9699999999999998	13562
Alexis de Tocqueville	1.0138101560748292	3.99	15917
Alfred Bester	0.9841634707704633	4.071779252110977	49740
Alfred Lansing	0.8027842267521065	4.36	50142
Alfred Tennyson	0.9438772507572908	4.17	14848
Alfred Uhry	0.9016162990029116	4.24	16829
Ali Novak	1.1061012979760914	3.93	13515
Ali Smith	1.2379721785700377	3.6099999999999994	9431
Alice  Miller	1.014555307450236	4.09	9563
Alice Clayton	1.0196436295195892	4.085410484368521	197742
Alice Hoffman	1.039968360814112	3.8147801276057423	218172
Alice LaPlante	1.0095327278208743	3.65	10954
Alice McDermott	1.054608879558066	3.76	12401
Alice Munro	1.0260516067622556	3.8813729853907173	55718
Alice Schroeder	1.056377380558519	4.05	27007
Alice Sebold	1.147377637534808	3.751805902507052	1710934
Alice Walker	0.9531800999286355	4.163327749790617	399985
Alice Waters	1.0504052393927918	4.11	13022
Alisa Kwitney	0.6066739556964741	4.61	11538
Alisa Valdes	1.2602186487370541	3.4599999999999995	11045
Alison Bechdel	1.0476704135648032	3.992027852905578	66923
Alison Croggon	1.0227446786281367	4.046358078114967	35819
Alison Goodman	1.0310576904558366	4.037413930924226	72558
Alison Weir	0.9649493473193148	4.027491399283859	128187
Alissa Nutting	1.172874265330105	3.34	9662
Alistair MacLean	0.9053915461501253	4.083698736179594	59423
Allan Pease	1.0266446385826735	3.97	13328
