wday,age,school,industry,employment,start,end,n,count
1,20,-1,-1,-1,0,1.5,0.04670677008039326,1
1,20,-1,-1,-1,0,2,0.08947000637736326,2
1,20,-1,-1,-1,0,3,0.04501992390389928,1
1,20,-1,-1,-1,0,4,0.05562552774844791,2
1,20,-1,-1,-1,0,5,0.025669510607417033,2
1,20,-1,-1,-1,0,6,0.09127419666224568,3
1,20,-1,-1,-1,0,6.5,0.02633848216982218,1
1,20,-1,-1,-1,0,7,0.411610577570333,7
1,20,-1,-1,-1,0,7.5,0.18275224835011025,5
1,20,-1,-1,-1,0,8,0.22191435465503273,7
1,20,-1,-1,-1,0,8.5,0.18489445123141288,5
1,20,-1,-1,-1,0,9,0.2644295905578274,7
1,20,-1,-1,-1,0,9.5,0.15795656365581515,2
1,20,-1,-1,-1,0,10,0.4338499813699677,7
1,20,-1,-1,-1,0,10.5,0.06227823187215978,1
1,20,-1,-1,-1,0,11,0.04638833550267852,1
1,20,-1,-1,-1,0,12,0.023980053055849822,1
1,20,-1,-1,-1,0,13,0.0390719773931771,1
1,20,-1,-1,-1,0.5,3.5,0.017216584321839052,1
1,20,-1,-1,-1,0.5,5.5,0.020007152244368376,1
1,20,-1,-1,-1,0.5,6,0.17626221538703557,2
1,20,-1,-1,-1,0.5,6.5,0.023009321785610954,1
1,20,-1,-1,-1,0.5,7,0.027862307057177533,1
1,20,-1,-1,-1,0.5,7.5,0.02457979400143924,1
1,20,-1,-1,-1,0.5,8,0.0493965155831958,2
1,20,-1,-1,-1,0.5,8.5,0.06263122705070404,2
1,20,-1,-1,-1,0.5,9.5,0.023492200049501418,1
1,20,-1,-1,-1,0.5,10,0.05051732068236384,2
1,20,-1,-1,-1,0.5,12,0.11153470334912387,3
1,20,-1,-1,-1,0.5,13,0.08388495346969475,1
1,20,-1,-1,-1,1,3,0.02055396543149031,1
1,20,-1,-1,-1,1,4,0.027438673453468017,1
1,20,-1,-1,-1,1,4.5,0.025331527188371963,1
1,20,-1,-1,-1,1,6,0.06710354969776892,2
1,20,-1,-1,-1,1,6.5,0.03859281195027065,1
1,20,-1,-1,-1,1,7,0.04303634382243598,2
1,20,-1,-1,-1,1,7.5,0.035743881983157755,2
1,20,-1,-1,-1,1,8,0.13733284241475696,4
1,20,-1,-1,-1,1,8.5,0.03857855880252458,1
1,20,-1,-1,-1,1,9,0.2100488279867444,4
1,20,-1,-1,-1,1,9.5,0.07123522649030904,3
1,20,-1,-1,-1,1,10,0.08244103082410523,2
1,20,-1,-1,-1,1,10.5,0.04697260514511062,1
1,20,-1,-1,-1,1,11,0.0672774030874208,2
1,20,-1,-1,-1,1,12,0.04132259610608145,1
1,20,-1,-1,-1,1,13,0.01188582682702799,1
1,20,-1,-1,-1,1.5,3.5,0.06502668225370355,1
1,20,-1,-1,-1,1.5,4,0.04670677008039326,1
1,20,-1,-1,-1,1.5,5,0.024272381177176037,1
1,20,-1,-1,-1,1.5,6,0.02456246264061802,1
1,20,-1,-1,-1,1.5,7,0.028434307613371713,1
1,20,-1,-1,-1,1.5,7.5,0.07108470041206552,2
1,20,-1,-1,-1,1.5,8,0.12254497550355409,1
1,20,-1,-1,-1,1.5,9,0.025557557019082,1
1,20,-1,-1,-1,2,0,0.021783128007509856,1
1,20,-1,-1,-1,2,2.5,0.11889780361356736,1
1,20,-1,-1,-1,2,4,0.040811248018417755,2
1,20,-1,-1,-1,2,4.5,0.029206815091389803,1
1,20,-1,-1,-1,2,5,0.02358766112654993,1
1,20,-1,-1,-1,2,6,0.060429852452658285,2
1,20,-1,-1,-1,2,6.5,0.01978428086451507,1
1,20,-1,-1,-1,2,7.5,0.04571169029061684,1
1,20,-1,-1,-1,2,8,0.022054178528029888,1
1,20,-1,-1,-1,2,8.5,0.05439408204282523,2
1,20,-1,-1,-1,2,9.5,0.0689514258075496,1
1,20,-1,-1,-1,2,10,0.022291193640472568,1
1,20,-1,-1,-1,2,11.5,0.040101887674502894,1
1,20,-1,-1,-1,2.5,4,0.02367288094493136,1
1,20,-1,-1,-1,2.5,4.5,0.01353482265364769,1
1,20,-1,-1,-1,2.5,5,0.020909214562262576,1
1,20,-1,-1,-1,2.5,5.5,0.010373096636561975,1
1,20,-1,-1,-1,2.5,7,0.03460676673129769,1
