code;name
01;Personal Care Activities
0101;Sleeping
0102;Grooming
0103;Health-related self care
0104;Personal Activities
0105;Personal Care Emergencies
0199;Personal care, n.e.c.*
02;Household Activities
0201;Housework
0202;Food & Drink Preparation, Presentation, & Clean-up
0203;Interior Maintenance, Repair & Decoration
0204;Exterior Maintenance, Repair & Decoration
0205;Lawn, Garden, and Houseplants
0206;Animals and Pets
0207;Vehicles
0208;Appliances, Tools, and Toys
0209;Household Management
0299;Household activities, n.e.c.*
03;Caring For & Helping Household (HH) Members
0301;Caring For & Helping HH Children
0302;Activities Related to HH Children's Education
0303;Activities Related to HH Children's Health
0304;Caring for Household Adults
0305;Helping Household Adults
0399;Caring For & Helping NonHH Members
04;Caring for & Helping Nonhousehold (NonHH) Members
0401;Caring for & Helping Nonhousehold Children
0402;Activities Related to Nonhh Children's Education
0403;Activities Related to Nonhh Children's Health
0404;Caring For Nonhousehold Adults
0405;Helping Nonhousehold Adults
0499;Caring For & Helping Nonhousehold Adults, n.e.c.*
05;Work & Work-Related Activities
0501;Working
0502;Work-Related Activities
0503;Other Income-Generating Activities
0504;Job Search and Interviewing
0599;Work and Work-Related Activities, n.e.c.*
06;Education
0601;Taking Class
0602;Extracurricular School Activities (Except Sports)
0603;Research/Homework
0604;Registration/Administrative activities
0699;Education, n.e.c.*
07;Consumer Purchases
0701;Shopping (Store, Telephone, Internet)
0702;Researching Purchases
0703;Security Procedures Related to Consumer Purchases
0799;Consumer Purchases, n.e.c.*
08;Professional & Personal Care Services
0801;Professional & Personal Care Services
0802;Financial Services and Banking
0803;Legal Services
0804;Medical and Care Services
0805;Personal Care Services
0806;Real Estate
0807;Veterinary Services (excluding grooming)
0808;Security Procedures Related to Professional/Personal Services
0899;Professional and Personal Services, n.e.c.*
09;Household Services
0901;Household Services (not done by self)
0902;Home Maintenance/Repair/Décor/Construction (not done by self)
0903;Pet Services (not done by self, not vet)
0904;Lawn & Garden Services (not done by self)
0905;Vehicle Maintenance & Repair Services (not done by self)
0999;Household Services, n.e.c.*
10;Government Services & Civic Obligations
1001;Using Government Services
1002;Civic Obligations & Participation
1003;Waiting Associated w/ Government Services or Civic Obligations
1004;Security Procedures Related to Government Services or Civic Obligations
1099;Government services, n.e.c.*
11;Eating and Drinking
1101;Eating and Drinking
1102;Waiting associated with Eating & Drinking
1199;Eating and Drinking, n.e.c.*
12;Socializing, Relaxing, and Leisure
1201;Socializing and Communicating
1202;Attending or Hosting Social Events
1203;Relaxing and Leisure
1204;Arts and Entertainment (other than sports)
1205;Waiting associated with Socializing, Relaxing, and Leisure
1299;Socializing, Relaxing, and Leisure, n.e.c.*
13;Sports, Exercise, & Recreation
1301;Participating in Sports, Exercise, and Recreation
1302;Attending Sports/Recreational Events
1303;Waiting Associated with Sports, Exercise, & Recreation
1304;Security Procedures Related to Sports, Exercise, & Recreation
1399;Sports, Exercise, and Recreation, n.e.c.*
14;Religious and Spiritual Activities
1401;Religious/Spiritual Practices
1499;Religious and Spiritual Practices, n.e.c.*
15;Volunteer Activities
1501;Administrative & Support Activities
1502;Social Service & Care Activities (Except Medical)
1503;Indoor & Outdoor Maintenance, Building, & Clean-up Activities
1504;Participating in Performance & Cultural Activities
1505;Attending Meetings, Conferences, & Training
1506;Public Health & Safety Activities
1599;Volunteer Activities, n.e.c.*
16;Telephone Calls
1601;Telephone Calls (to or from)
1699;Telephone Calls, n.e.c.*
18;Traveling
1801;Travel Related to Personal Care
1802;Travel Related to Household Activities
1803;Travel Related to Caring For & Helping Household Members
1804;Travel Related to Caring For & Helping Nonhousehold Members
1805;Travel Related to Work
1806;Travel Related to Education
1807;Travel Related to Consumer Purchases
1808;Travel Related to Using Professional and Personal Care Services
1809;Travel Related to Using Household Services
1810;Travel Related to Using Government Services & Civic Obligations
1811;Travel Related to Eating and Drinking
1812;Travel Related to Socializing, Relaxing, and Leisure
1813;Travel Related to Sports, Exercise, and Recreation
50;Data Codes
5001;Unable to Code
5099;Data codes, n.e.c.*
010101;Sleeping
010102;Sleeplessness
010199;Sleeping, n.e.c.*
010201;Washing, dressing and grooming oneself
010299;Grooming, n.e.c.*
010301;Health-related self care
010399;Self care, n.e.c.*
010401;Personal/Private activities
010499;Personal activities, n.e.c.*
010501;Personal emergencies
010599;Personal care emergencies, n.e.c.*
019999;Personal care, n.e.c.*
020101;Interior cleaning
020102;Laundry
020103;Sewing, repairing, & maintaining textiles
020104;Storing interior hh items, inc. food
020199;Housework, n.e.c.*
020201;Food and drink preparation
020202;Food presentation
020203;Kitchen and food clean-up
020299;Food & drink prep, presentation, & clean-up, n.e.c.*
020301;Interior arrangement, decoration, & repairs
020302;Building and repairing furniture
020303;Heating and cooling
020399;Interior maintenance, repair, & decoration, n.e.c.*
020401;Exterior cleaning
020402;Exterior repair, improvements, & decoration
020499;Exterior maintenance, repair & decoration, n.e.c.*
020501;Lawn, garden, and houseplant care
020502;Ponds, pools, and hot tubs
020599;Lawn and garden, n.e.c.*
020681;Care for animals and pets (not veterinary care)
020699;Pet and animal care, n.e.c.*
020701;Vehicle repair and maintenance (by self)
020799;Vehicles, n.e.c.*
020801;Appliance, tool, and toy set-up, repair, & maintenance (by self)
020899;Appliances and tools, n.e.c.*
020901;Financial management
020902;Household & personal organization and planning
020903;HH & personal mail & messages (except e-mail)
020904;HH & personal e-mail and messages
020905;Home security
020999;Household management, n.e.c.*
029999;Household activities, n.e.c.*
030101;Physical care for hh children
030102;Reading to/with hh children
030103;Playing with hh children, not sports
030104;Arts and crafts with hh children
030105;Playing sports with hh children
030186;Talking with/listening to hh children
030108;Organization & planning for hh children
030109;Looking after hh children (as a primary activity)
030110;Attending hh children's events
030111;Waiting for/with hh children
030112;Picking up/dropping off hh children
