activity	time	p
Running	0.0	6.45223543281662e-5
Running	5.0	6.45223543281662e-5
Running	10.0	6.45223543281662e-5
Running	15.0	6.45223543281662e-5
Running	20.0	6.45223543281662e-5
Running	25.0	6.45223543281662e-5
Running	30.0	6.45223543281662e-5
Running	35.0	6.45223543281662e-5
Running	40.0	6.45223543281662e-5
Running	45.0	6.45223543281662e-5
Running	50.0	6.45223543281662e-5
Running	55.0	6.45223543281662e-5
Running	60.0	6.45223543281662e-5
Running	65.0	6.45223543281662e-5
Running	70.0	7.549121524369304e-5
Running	75.0	7.549121524369304e-5
Running	80.0	7.549121524369304e-5
Running	85.0	7.549121524369304e-5
Running	90.0	7.549121524369304e-5
Running	95.0	0.0
Running	100.0	7.156491147898021e-6
Running	105.0	1.2154485969395008e-5
Running	110.0	1.2154485969395008e-5
Running	115.0	1.2154485969395008e-5
Running	120.0	1.2154485969395008e-5
Running	125.0	1.2154485969395008e-5
Running	130.0	7.156491147898021e-6
Running	135.0	7.156491147898021e-6
Running	140.0	7.156491147898021e-6
Running	145.0	7.156491147898021e-6
Running	150.0	1.386217878483648e-5
Running	155.0	1.386217878483648e-5
Running	160.0	1.386217878483648e-5
Running	165.0	1.386217878483648e-5
Running	170.0	1.386217878483648e-5
Running	175.0	1.386217878483648e-5
Running	180.0	1.386217878483648e-5
Running	185.0	7.156491147898021e-6
Running	190.0	7.156491147898021e-6
Running	195.0	7.156491147898021e-6
Running	200.0	7.156491147898021e-6
Running	205.0	7.156491147898021e-6
Running	210.0	7.156491147898021e-6
Running	215.0	9.7154553212717e-6
Running	220.0	9.7154553212717e-6
Running	225.0	9.7154553212717e-6
Running	230.0	1.2248808520670933e-5
Running	235.0	2.1023897253092403e-5
Running	240.0	1.495220670579034e-4
Running	245.0	1.7488925502722006e-4
Running	250.0	1.803811135975955e-4
Running	255.0	1.803811135975955e-4
Running	260.0	1.8547740520805531e-4
Running	265.0	1.5590535617979496e-4
Running	270.0	2.2123664258926474e-4
Running	275.0	1.8662109902692093e-4
Running	280.0	1.9741445816779933e-4
Running	285.0	2.0113230706714685e-4
Running	290.0	1.9774262367116117e-4
Running	295.0	1.9235401016228483e-4
Running	300.0	4.7675195168042146e-4
Running	305.0	4.640980350458562e-4
Running	310.0	5.005150095540079e-4
Running	315.0	5.634001473143782e-4
Running	320.0	5.959968606176039e-4
Running	325.0	5.866976217950529e-4
Running	330.0	8.525925902238158e-4
Running	335.0	7.605454273537874e-4
Running	340.0	7.96814179205633e-4
Running	345.0	7.824277318669692e-4
Running	350.0	7.195829147618155e-4
Running	355.0	7.360227618216588e-4
Running	360.0	0.0011820099861791305
Running	365.0	0.0010300849514552673
Running	370.0	0.0010255387833200762
Running	375.0	0.0010969830285538968
Running	380.0	0.0010755478657071466
Running	385.0	0.0010705818525740438
Running	390.0	0.00124520773121054
Running	395.0	0.0010791494731120768
Running	400.0	0.001069705209275554
Running	405.0	0.0010648286976599776
Running	410.0	8.94329404535914e-4
Running	415.0	8.776482469234735e-4
Running	420.0	0.0014055645771444021
Running	425.0	0.001242953431712141
Running	430.0	0.0012606731105459573
Running	435.0	0.0012703726487337773
Running	440.0	0.0012520876971115048
Running	445.0	0.0012026834219201568
Running	450.0	0.0014152762110900324
Running	455.0	0.0011970902049323598
Running	460.0	0.0011438464063388094
Running	465.0	0.001118626387137642
Running	470.0	0.0011018219860364812
Running	475.0	0.0010985606716585443
Running	480.0	0.0014656636226527125
Running	485.0	0.0011999184764911808
Running	490.0	0.0012134811535999999
Running	495.0	0.0012326862074987126
Running	500.0	0.0012879899976600982
Running	505.0	0.0012167143982240993
Running	510.0	0.0013661510705060033
Running	515.0	0.001071545647421297
Running	520.0	0.0010559932593078095
Running	525.0	9.824774744893819e-4
Running	530.0	9.571323839485111e-4
Running	535.0	8.434225412411137e-4
Running	540.0	0.0010398002800642576
Running	545.0	9.105358651237872e-4
Running	550.0	8.981290295401697e-4
Running	555.0	9.529586511128316e-4
Running	560.0	9.40956405035364e-4
Running	565.0	9.555243650844582e-4
Running	570.0	0.0010336354734526295
Running	575.0	8.623467022679786e-4
Running	580.0	8.611390008458774e-4
Running	585.0	8.83347422756711e-4
Running	590.0	8.200329225371898e-4
Running	595.0	7.751217525194682e-4
Running	600.0	9.347478954983183e-4
Running	605.0	7.124615146672531e-4
Running	610.0	6.751715627416807e-4
Running	615.0	7.543765138251306e-4
Running	620.0	7.486287613821935e-4
Running	625.0	7.082898566135533e-4
Running	630.0	8.372568443089826e-4
Running	635.0	8.088454929400283e-4
Running	640.0	7.562158636843689e-4
Running	645.0	7.108647905709111e-4
Running	650.0	6.111548323608103e-4
Running	655.0	5.544459548088853e-4
Running	660.0	6.180037565608862e-4
Running	665.0	5.422836870030515e-4
Running	670.0	5.359477579125577e-4
Running	675.0	6.028661230163366e-4
Running	680.0	5.668673966154489e-4
Running	685.0	5.350081838897218e-4
Running	690.0	6.958299958890032e-4
Running	695.0	5.794403078611495e-4
Running	700.0	6.125259366407175e-4
Running	705.0	5.866168772895761e-4
Running	710.0	5.409628047497322e-4
Running	715.0	4.938046714710447e-4
Running	720.0	6.149165297642976e-4
Running	725.0	5.115706195927292e-4
Running	730.0	5.464017989388006e-4
Running	735.0	6.13777876180898e-4
Running	740.0	5.826465746157027e-4
Running	745.0	5.435079177087944e-4
Running	750.0	4.8313828461734156e-4
Running	755.0	4.1484520884768844e-4
Running	760.0	4.119594226370378e-4
Running	765.0	4.844472331009884e-4
Running	770.0	4.441022033204129e-4
Running	775.0	4.4452335054149237e-4
Running	780.0	5.052305882360039e-4
Running	785.0	4.654038783766041e-4
Running	790.0	4.406847851157269e-4
Running	795.0	4.0922917469866764e-4
Running	800.0	3.73332594542668e-4
Running	805.0	3.370307632388277e-4
Running	810.0	3.641827261580292e-4
Running	815.0	3.443817620383088e-4
Running	820.0	3.458209897890706e-4
Running	825.0	3.521015147243256e-4
Running	830.0	3.121369315482709e-4
Running	835.0	3.005137315711626e-4
Running	840.0	4.305729460492804e-4
Running	845.0	3.814484575420947e-4
Running	850.0	4.158851937538646e-4
Running	855.0	3.8867126177229096e-4
Running	860.0	3.9228967926370256e-4
Running	865.0	4.204441890505122e-4
Running	870.0	4.6516472202053977e-4
Running	875.0	4.382447426121218e-4
Running	880.0	4.7034724818299084e-4
Running	885.0	4.643819665554303e-4
Running	890.0	4.987321935549316e-4
Running	895.0	5.195727484915932e-4
Running	900.0	6.854891646517711e-4
Running	905.0	6.50799897181442e-4
Running	910.0	7.30300100340938e-4
Running	915.0	7.54444207667641e-4
Running	920.0	7.205602660681498e-4
Running	925.0	7.535543434694635e-4
Running	930.0	8.28451966958343e-4
Running	935.0	8.119658558756847e-4
Running	940.0	8.338094201271306e-4
Running	945.0	8.940806019880589e-4
Running	950.0	9.138902480928202e-4
Running	955.0	8.646266630216102e-4
Running	960.0	0.0010365140444343207
Running	965.0	9.93870646922985e-4
Running	970.0	0.001028266109504902
Running	975.0	0.0010382215678905497
Running	980.0	9.674299575960786e-4
Running	985.0	9.88667712536669e-4
Running	990.0	0.00114254783352008
Running	995.0	9.985886786810362e-4
Running	1e3	9.889337820021247e-4
Running	1005.0	0.0010226795492994174
Running	1010.0	9.890479810068884e-4
Running	1015.0	0.0010107969111914084
Running	1020.0	0.0010657878141564243
Running	1025.0	9.01665552638477e-4
Running	1030.0	8.716375798349818e-4
Running	1035.0	9.35660473662676e-4
Running	1040.0	9.42469527457338e-4
Running	1045.0	9.268182572564693e-4
Running	1050.0	0.001195309667385073
Running	1055.0	0.0011011324421086634
Running	1060.0	0.0010669854759995066
Running	1065.0	0.001083373409634409
Running	1070.0	0.0010741919860306883
Running	1075.0	9.91337152444657e-4
Running	1080.0	0.0010302910472257778
Running	1085.0	8.984340437269288e-4
Running	1090.0	9.484658009432837e-4
Running	1095.0	9.79238243499749e-4
Running	1100.0	9.676430772986141e-4
Running	1105.0	9.270369912607757e-4
Running	1110.0	0.0010031239793953375
Running	1115.0	7.99804344219247e-4
Running	1120.0	7.732620297122215e-4
Running	1125.0	8.08005757138242e-4
Running	1130.0	8.250110173879612e-4
Running	1135.0	8.060381795398834e-4
Running	1140.0	8.609326170769548e-4
Running	1145.0	7.74140488401068e-4
Running	1150.0	7.710166454407223e-4
Running	1155.0	7.380374049594373e-4
Running	1160.0	6.659033991408579e-4
Running	1165.0	6.284052090946119e-4
Running	1170.0	6.182645243809824e-4
Running	1175.0	6.212074978449022e-4
Running	1180.0	6.743932729192272e-4
Running	1185.0	6.271370710038839e-4
Running	1190.0	5.390986740399135e-4
Running	1195.0	5.20791487220302e-4
Running	1200.0	6.051127973136304e-4
Running	1205.0	5.259756906532134e-4
Running	1210.0	5.231677087668089e-4
Running	1215.0	5.698633290561322e-4
Running	1220.0	4.880383153134896e-4
Running	1225.0	4.828304782850987e-4
Running	1230.0	4.871635881433756e-4
Running	1235.0	4.67533242549175e-4
Running	1240.0	4.8026250385061457e-4
Running	1245.0	5.096375152814594e-4
Running	1250.0	4.649813888302012e-4
Running	1255.0	4.342178722939946e-4
Running	1260.0	0.00048078487259773143
Running	1265.0	4.10638063369895e-4
Running	1270.0	3.8384337292338085e-4
Running	1275.0	3.4955401520438085e-4
Running	1280.0	3.218460977634481e-4
Running	1285.0	3.1803045839775754e-4
Running	1290.0	3.529130989884477e-4
Running	1295.0	3.2434279566219426e-4
Running	1300.0	3.1411118260161054e-4
Running	1305.0	3.1228781919902487e-4
Running	1310.0	1.549944958268075e-4
Running	1315.0	1.6212378332212612e-4
Running	1320.0	1.489001633568036e-4
Running	1325.0	1.2676827952491198e-4
Running	1330.0	1.0140827308821394e-4
Running	1335.0	1.0140827308821394e-4
Running	1340.0	9.330228662665735e-5
Running	1345.0	8.029440748287463e-5
Running	1350.0	7.54371185766754e-5
Running	1355.0	6.797300353062925e-5
Running	1360.0	6.797300353062925e-5
Running	1365.0	3.5235994986258414e-5
Running	1370.0	3.311751043195061e-5
Running	1375.0	4.0303196300061394e-5
Running	1380.0	3.50060508060963e-5
Running	1385.0	4.588716083429892e-5
Running	1390.0	4.588716083429892e-5
Running	1395.0	4.588716083429892e-5
Running	1400.0	3.6476984707466054e-5
Running	1405.0	3.6476984707466054e-5
Running	1410.0	2.9291298839355264e-5
Running	1415.0	2.9291298839355264e-5
Running	1420.0	1.57776621914262e-5
Running	1425.0	1.57776621914262e-5
Running	1430.0	1.2185803383572147e-5
