"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1779,,
"AUS","Australia","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1737,,
"AUS","Australia","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1732,,
"AUS","Australia","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1736,,
"AUS","Australia","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1734,,
"AUS","Australia","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1729,,
"AUS","Australia","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1721,,
"AUS","Australia","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1712,,
"AUS","Australia","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1717,,
"AUS","Australia","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1690,,
"AUS","Australia","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1692,,
"AUS","Australia","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1698,,
"AUS","Australia","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1689,,
"AUS","Australia","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1685,,
"AUS","Australia","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1681,,
"AUS","Australia","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1682,,
"AUS","Australia","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1669,,
"AUT","Austria","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1509,,
"AUT","Austria","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1522,,
"AUT","Austria","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1495,,
"AUT","Austria","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1514,,
"AUT","Austria","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1548,,
