"LOCATION","Country","SUBJECT","Subject","SEX","Sex","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","YP99TTL1_ST","Population","TT","All persons","A","Annual","2000","2000","PER","Persons","3","Thousands",,,19029,,
"AUS","Australia","YP99TTL1_ST","Population","TT","All persons","A","Annual","2001","2001","PER","Persons","3","Thousands",,,19275,,
"AUS","Australia","YP99TTL1_ST","Population","TT","All persons","A","Annual","2002","2002","PER","Persons","3","Thousands",,,19495,,
"AUS","Australia","YP99TTL1_ST","Population","TT","All persons","A","Annual","2003","2003","PER","Persons","3","Thousands",,,19721,,
"AUS","Australia","YP99TTL1_ST","Population","TT","All persons","A","Annual","2004","2004","PER","Persons","3","Thousands",,,19933,,
"AUS","Australia","YP99TTL1_ST","Population","TT","All persons","A","Annual","2005","2005","PER","Persons","3","Thousands",,,20177,,
"AUS","Australia","YP99TTL1_ST","Population","TT","All persons","A","Annual","2006","2006","PER","Persons","3","Thousands",,,20451,,
"AUS","Australia","YP99TTL1_ST","Population","TT","All persons","A","Annual","2007","2007","PER","Persons","3","Thousands",,,20828,,
"AUS","Australia","YP99TTL1_ST","Population","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,21249,,
"AUS","Australia","YP99TTL1_ST","Population","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,21692,,
"AUS","Australia","YP99TTL1_ST","Population","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,22032,,
"AUS","Australia","YP99TTL1_ST","Population","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,22340,,
"AUS","Australia","YP99TTL1_ST","Population","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,22728,,
"AUS","Australia","YP99TTL1_ST","Population","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,23126,,
"AUS","Australia","YP99TTL1_ST","Population","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,23491,,
"AUS","Australia","YP99P1L1_ST","Population under 15","TT","All persons","A","Annual","2000","2000","PER","Persons","3","Thousands",,,3943,,
"AUS","Australia","YP99P1L1_ST","Population under 15","TT","All persons","A","Annual","2001","2001","PER","Persons","3","Thousands",,,3960,,
"AUS","Australia","YP99P1L1_ST","Population under 15","TT","All persons","A","Annual","2002","2002","PER","Persons","3","Thousands",,,3965,,
"AUS","Australia","YP99P1L1_ST","Population under 15","TT","All persons","A","Annual","2003","2003","PER","Persons","3","Thousands",,,3970,,
"AUS","Australia","YP99P1L1_ST","Population under 15","TT","All persons","A","Annual","2004","2004","PER","Persons","3","Thousands",,,3974,,
"AUS","Australia","YP99P1L1_ST","Population under 15","TT","All persons","A","Annual","2005","2005","PER","Persons","3","Thousands",,,3983,,
"AUS","Australia","YP99P1L1_ST","Population under 15","TT","All persons","A","Annual","2006","2006","PER","Persons","3","Thousands",,,4002,,
"AUS","Australia","YP99P1L1_ST","Population under 15","TT","All persons","A","Annual","2007","2007","PER","Persons","3","Thousands",,,4047,,
"AUS","Australia","YP99P1L1_ST","Population under 15","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,4101,,
"AUS","Australia","YP99P1L1_ST","Population under 15","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,4158,,
"AUS","Australia","YP99P1L1_ST","Population under 15","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,4199,,
"AUS","Australia","YP99P1L1_ST","Population under 15","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,4234,,
"AUS","Australia","YP99P1L1_ST","Population under 15","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,4301,,
"AUS","Australia","YP99P1L1_ST","Population under 15","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,4371,,
"AUS","Australia","YP99P1L1_ST","Population under 15","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,4423,,
"AUS","Australia","YP99P2L1_ST","Population 15-64","TT","All persons","A","Annual","2000","2000","PER","Persons","3","Thousands",,,12721,,
"AUS","Australia","YP99P2L1_ST","Population 15-64","TT","All persons","A","Annual","2001","2001","PER","Persons","3","Thousands",,,12895,,
"AUS","Australia","YP99P2L1_ST","Population 15-64","TT","All persons","A","Annual","2002","2002","PER","Persons","3","Thousands",,,13065,,
"AUS","Australia","YP99P2L1_ST","Population 15-64","TT","All persons","A","Annual","2003","2003","PER","Persons","3","Thousands",,,13240,,
"AUS","Australia","YP99P2L1_ST","Population 15-64","TT","All persons","A","Annual","2004","2004","PER","Persons","3","Thousands",,,13400,,
"AUS","Australia","YP99P2L1_ST","Population 15-64","TT","All persons","A","Annual","2005","2005","PER","Persons","3","Thousands",,,13582,,
"AUS","Australia","YP99P2L1_ST","Population 15-64","TT","All persons","A","Annual","2006","2006","PER","Persons","3","Thousands",,,13785,,
"AUS","Australia","YP99P2L1_ST","Population 15-64","TT","All persons","A","Annual","2007","2007","PER","Persons","3","Thousands",,,14044,,
"AUS","Australia","YP99P2L1_ST","Population 15-64","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,14343,,
"AUS","Australia","YP99P2L1_ST","Population 15-64","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,14643,,
"AUS","Australia","YP99P2L1_ST","Population 15-64","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,14846,,
"AUS","Australia","YP99P2L1_ST","Population 15-64","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,15019,,
"AUS","Australia","YP99P2L1_ST","Population 15-64","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,15210,,
"AUS","Australia","YP99P2L1_ST","Population 15-64","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,15417,,
"AUS","Australia","YP99P2L1_ST","Population 15-64","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,15612,,
"AUS","Australia","YP99P3L1_ST","Population over 65","TT","All persons","A","Annual","2000","2000","PER","Persons","3","Thousands",,,2364,,
"AUS","Australia","YP99P3L1_ST","Population over 65","TT","All persons","A","Annual","2001","2001","PER","Persons","3","Thousands",,,2419,,
